年份,季別,平均匯率(元/美元),國內投資毛額,投資率,工業生產指數,製造業銷售量指數,電力(企業)總用電量(十億度),進口物價基本分類指數,出口物價基本分類指數,進口貿易總值,出口貿易總值,機械及電機設備進口值(十億元),消費者物價指數,失業率,就業人數（千人）,總人口數(千人),景氣領先指標綜合指數(點),景氣同時指標綜合指數(點),gdp_t1,gdp_t2,gdp_t3
1984,3,39.21,157728,25.42,39.53,42.23,7.26,223.62,311.05,255852.0,182649.0,0.0,134.0,6.55,17177.0,44065.33,37.38,38.4,619704,562116,571153
1984,4,39.36,163960,26.62,37.3,41.1,6.87,221.53,310.0,232351.0,173375.67,0.0,133.54,5.76,17186.0,44257.33,36.81,37.65,620474,619704,562116
1985,1,39.3,109917,18.37,36.6,39.04,6.22,220.68,309.26,220235.67,145845.0,0.0,133.33,5.01,17485.0,44412.67,36.92,36.95,615946,620474,619704
1985,2,39.82,149595,23.32,39.57,43.23,6.76,222.31,312.42,247143.0,167712.33,0.0,132.92,5.69,17204.0,44551.0,35.78,35.88,598221,615946,620474
1985,3,40.31,121388,19.0,39.15,41.95,7.36,223.44,314.44,245927.33,156490.67,0.0,132.68,8.75,17284.0,44687.33,35.16,35.54,641515,598221,615946
1985,4,39.99,147302,22.44,39.17,42.97,6.96,221.54,312.19,246079.67,158139.33,0.0,132.9,7.7,17375.67,44852.33,37.17,37.31,638890,641515,598221
1986,1,39.24,107411,15.71,39.59,43.31,6.51,205.16,305.41,252582.67,159151.67,0.0,132.37,6.79,17816.0,44993.33,40.55,40.86,656430,638890,641515
1986,2,38.38,175794,23.94,43.55,46.56,7.7,194.53,301.0,285344.67,174383.33,0.0,132.99,5.59,17750.0,45113.0,42.11,43.45,683623,656430,638890
1986,3,37.47,154967,20.35,45.59,49.23,8.76,190.01,297.72,313286.67,184169.33,0.0,133.92,7.03,18220.67,45220.0,42.57,45.26,734284,683623,656430
1986,4,36.29,175067,22.27,47.21,50.9,8.14,185.33,293.33,326720.67,193266.0,0.0,135.68,5.6,18383.0,45355.0,44.05,47.2,761436,734284,683623
1987,1,34.98,129325,16.46,45.41,49.07,7.2,187.09,288.73,301467.0,187698.67,0.0,133.69,4.97,18616.67,45440.0,46.33,49.09,786105,761436,734284
1987,2,32.39,202575,24.36,50.31,55.35,8.46,182.21,279.84,346682.67,224179.67,0.0,133.17,4.24,18418.67,45557.0,48.22,49.69,785754,786105,761436
1987,3,30.53,196506,22.81,50.94,55.44,9.36,174.12,271.92,341836.0,209804.0,0.0,135.49,4.79,18945.33,45682.0,49.2,49.9,831502,785754,786105
1987,4,29.58,262781,30.34,49.73,54.67,8.8,174.14,270.4,328198.0,240200.0,0.0,135.58,4.48,18901.33,45822.67,49.19,50.15,861649,831502,785754
1988,1,28.61,249716,29.5,47.87,52.32,7.87,172.49,263.75,306418.0,265869.0,66.21,134.31,4.07,18819.67,45947.33,50.12,50.23,866030,861649,831502
1988,2,28.68,249441,28.1,51.11,57.78,9.25,177.95,268.84,343165.0,278182.67,74.11,134.59,3.94,18535.67,46065.0,52.33,50.28,846395,866030,861649
1988,3,28.77,274903,29.65,52.69,57.59,10.16,179.04,272.21,357083.67,286495.0,78.48,137.11,4.35,19000.67,46195.67,53.94,50.79,887657,846395,866030
1988,4,28.39,268207,28.1,52.38,57.44,9.42,177.58,272.05,358998.67,286633.67,80.63,138.87,3.49,19354.33,46354.67,53.73,51.59,927086,887657,846395
1989,1,27.65,219818,23.18,49.16,54.88,8.13,177.54,267.0,313988.0,261719.67,72.6,139.2,3.72,19259.33,46494.67,53.45,52.36,954524,927086,887657
1989,2,26.27,275913,27.82,54.69,62.65,9.86,170.82,258.78,361664.67,288466.33,81.07,141.81,3.37,19178.33,46598.33,53.64,52.85,948504,954524,927086
1989,3,25.74,242038,23.65,54.74,62.02,10.58,161.89,255.46,363698.0,272074.0,78.65,142.47,4.2,19348.33,46725.33,53.91,52.53,991943,948504,954524
1989,4,25.97,289783,27.12,52.97,60.81,9.67,160.96,256.47,335970.33,265537.67,78.22,145.27,3.38,19315.33,46877.33,53.64,51.69,1023628,991943,948504
1990,1,26.18,263153,24.56,48.61,55.78,8.54,162.16,258.15,307273.67,274073.33,80.81,143.84,3.41,19105.33,46968.33,53.6,51.39,1068389,1023628,991943
1990,2,26.91,311451,28.29,53.3,61.86,10.26,163.25,263.94,347932.0,284581.0,86.86,146.89,3.36,19144.0,47117.67,52.03,51.6,1071403,1068389,1023628
1990,3,27.25,237767,21.34,54.47,63.11,10.96,173.58,268.71,378413.67,286099.67,87.82,150.2,4.72,19521.33,47269.67,49.11,52.45,1101045,1071403,1068389
1990,4,27.23,327451,27.58,54.45,63.43,10.59,185.07,270.54,385003.33,309844.0,89.94,150.67,4.04,19534.33,47425.33,48.07,53.34,1114442,1101045,1071403
1991,1,27.19,288800,24.24,50.08,56.85,9.28,174.87,270.72,354390.33,322325.0,88.12,151.38,3.18,19423.67,47550.0,49.93,53.95,1187398,1114442,1101045
1991,2,27.26,326119,26.39,56.28,66.35,11.02,168.74,272.02,402979.0,335265.0,103.23,152.46,3.29,19614.33,47658.33,53.47,55.65,1191557,1187398,1114442
1991,3,26.76,326255,25.91,59.12,69.33,12.04,163.94,266.99,420708.0,335713.0,99.69,154.28,4.2,19855.33,47768.67,56.45,57.77,1235624,1191557,1187398
1991,4,26.05,359895,27.03,61.3,72.4,10.98,161.17,260.85,413574.67,333367.0,98.81,156.2,3.51,19849.0,47902.33,58.04,58.57,1259193,1235624,1191557
1992,1,25.21,334079,24.78,54.99,64.62,9.69,153.62,252.05,367429.33,324406.33,96.77,157.48,3.37,19922.0,48011.0,58.65,58.42,1331645,1259193,1235624
1992,2,25.03,399233,28.93,60.38,71.82,11.78,154.01,251.9,411988.33,353358.0,111.33,161.06,3.24,19994.67,48109.67,58.98,58.59,1348266,1331645,1259193
1992,3,25.04,400854,28.6,60.68,71.0,12.62,155.93,251.11,409557.33,370998.33,114.13,160.06,4.25,20239.67,48225.33,58.5,58.45,1380027,1348266,1331645
1992,4,25.39,446770,30.2,60.32,71.82,11.27,156.88,255.77,425038.33,379434.67,116.93,162.44,3.33,20379.33,48365.33,57.87,58.11,1401780,1380027,1348266
1993,1,25.78,397505,26.47,55.21,65.66,10.04,156.53,260.13,390140.67,370224.33,113.04,162.73,3.0,20258.33,48452.0,58.27,58.65,1479284,1401780,1380027
1993,2,26.08,451871,29.52,61.5,74.19,11.79,161.31,263.33,452329.0,405044.0,125.42,165.41,3.1,20285.33,48552.0,59.66,59.55,1501810,1479284,1401780
1993,3,26.85,436945,28.19,63.51,74.93,13.24,166.44,270.3,458284.67,403834.67,128.96,164.75,4.14,20542.0,48665.33,60.61,60.36,1530725,1501810,1479284
1993,4,26.84,489947,30.29,62.31,74.24,12.24,164.57,269.28,467859.33,411898.67,128.38,166.5,3.38,20541.67,48798.33,61.8,60.97,1550091,1530725,1501810
1994,1,26.44,426485,26.22,57.63,69.56,10.93,162.02,263.72,414783.67,407378.33,129.6,168.26,3.37,20545.33,48904.33,63.41,62.37,1617528,1550091,1530725
1994,2,26.74,474958,28.39,65.45,80.22,13.07,168.34,266.28,494768.67,443779.67,142.95,171.18,3.32,20708.33,49014.67,65.18,64.0,1626595,1617528,1550091
1994,3,26.42,455606,26.97,65.38,79.22,13.6,173.78,269.05,492604.0,440661.33,140.83,174.23,4.39,21001.33,49127.0,67.8,65.17,1672847,1626595,1617528
1994,4,26.23,538411,30.06,68.14,82.72,13.13,176.53,269.42,552012.0,490305.0,155.51,173.51,3.57,21132.33,49258.0,69.29,67.08,1689099,1672847,1626595
1995,1,26.24,453519,25.71,62.99,76.79,11.75,183.07,278.98,502750.67,473783.33,154.72,175.45,3.59,21099.67,49332.0,68.38,68.71,1790855,1689099,1672847
1995,2,25.58,547938,30.28,70.22,84.28,13.88,187.93,277.74,581748.33,563506.0,183.7,177.98,3.75,21018.33,49433.33,66.79,68.77,1764105,1790855,1689099
1995,3,26.97,519051,28.03,69.51,81.92,14.48,191.95,290.93,619016.33,566668.67,199.28,178.85,4.72,21170.67,49549.33,65.0,67.61,1809832,1764105,1790855
1995,4,27.16,549182,27.94,68.21,82.34,13.78,187.68,293.56,648465.33,553424.67,205.13,179.91,4.6,21171.67,49673.33,62.61,66.64,1851753,1809832,1764105
1996,1,27.43,479782,24.88,64.1,76.83,12.38,187.65,295.34,589213.33,532614.67,196.62,180.74,4.88,21243.0,49749.0,61.55,66.7,1965372,1851753,1809832
1996,2,27.39,513429,26.03,70.33,85.76,13.78,184.69,288.46,630385.33,552623.0,189.22,182.94,5.43,21072.33,49815.67,63.93,67.66,1928580,1965372,1851753
1996,3,27.51,466884,23.11,71.35,84.97,15.12,181.24,289.33,626448.0,534853.0,187.35,184.83,7.17,21044.33,49927.67,67.67,69.44,1972253,1928580,1965372
1996,4,27.5,581284,27.55,73.73,88.88,14.72,179.9,289.21,655101.0,575250.67,204.58,185.87,6.78,21262.0,50040.0,70.94,71.75,2020604,1972253,1928580
1997,1,27.51,510040,24.41,67.3,82.21,13.1,176.49,287.74,602205.67,559255.33,193.39,184.15,6.58,21299.0,50147.67,74.41,73.52,2109868,2020604,1972253
1997,2,27.75,560141,26.6,75.13,90.68,15.37,175.51,287.63,654849.0,607929.33,220.53,184.4,5.99,21300.67,50224.0,77.4,74.25,2089355,2109868,2020604
1997,3,28.43,542110,25.03,76.21,90.43,16.27,179.16,293.11,682217.67,642108.0,233.67,187.1,6.83,21391.0,50366.0,78.63,75.21,2106006,2089355,2109868
1997,4,31.12,702652,29.98,79.84,94.52,15.85,190.46,314.73,774763.0,697384.67,252.66,185.27,6.05,21613.67,50525.67,77.92,76.75,2166159,2106006,2089355
1998,1,33.04,608568,26.71,70.81,84.59,13.97,192.98,329.52,665584.67,671520.0,269.28,186.6,5.7,21676.67,50654.67,75.63,76.83,2343629,2166159,2106006
1998,2,33.63,613803,26.78,77.88,91.37,16.33,182.9,318.09,724040.33,686096.67,261.7,187.77,5.56,21635.33,50759.33,72.97,76.03,2278387,2343629,2166159
1998,3,34.54,625226,26.65,79.0,93.27,17.4,181.86,314.48,762358.0,661057.0,279.25,188.23,6.97,21644.67,50878.0,72.09,76.29,2291608,2278387,2343629
1998,4,32.61,720327,29.4,81.1,95.71,16.28,173.15,294.62,742579.33,686586.33,297.27,190.98,6.84,21752.0,50984.33,74.22,77.46,2345962,2291608,2278387
1999,1,32.64,581412,24.14,74.33,88.79,14.28,170.6,289.53,685113.33,616621.0,285.56,188.46,6.44,21780.67,51080.0,79.27,79.47,2450380,2345962,2291608
1999,2,32.71,606447,25.2,85.08,101.96,17.13,171.11,286.86,767369.0,661586.0,295.1,187.87,6.56,21779.33,51174.67,84.65,82.17,2408988,2450380,2345962
1999,3,32.02,636871,26.22,84.66,98.8,18.39,173.45,283.64,779575.67,717974.33,307.96,188.64,7.36,21967.33,51274.0,87.74,83.47,2406800,2408988,2450380
1999,4,31.7,774892,30.27,88.67,105.47,17.57,181.45,286.21,861306.0,793571.67,380.7,190.62,6.94,22068.0,51367.67,90.05,85.84,2428878,2406800,2408988
2000,1,30.74,620816,24.9,81.63,99.35,15.96,178.87,278.76,785224.67,741576.67,339.67,189.92,6.59,22043.33,51468.67,92.84,90.13,2559837,2428878,2406800
2000,2,30.68,708406,28.24,90.74,109.41,18.74,179.45,280.5,924767.67,885791.67,420.02,190.51,6.47,22084.67,51560.33,93.38,94.0,2493070,2559837,2428878
2000,3,31.07,701208,27.04,92.34,110.22,19.61,183.62,284.63,971129.33,919178.67,441.81,190.46,7.25,22210.33,51659.67,89.75,95.27,2508527,2493070,2559837
2000,4,32.45,781126,28.58,92.6,108.97,19.04,188.05,290.4,989718.33,891003.0,418.5,193.73,7.51,22249.0,51780.33,84.82,92.84,2593587,2508527,2493070
2001,1,32.53,549027,21.75,80.86,96.66,16.37,181.69,285.04,798186.33,723440.67,328.88,191.11,8.38,22003.0,51881.33,81.68,88.29,2733365,2593587,2508527
2001,2,33.48,558189,22.87,83.24,99.88,18.47,180.77,283.35,829517.33,753354.67,327.16,190.64,9.68,21806.0,51945.33,79.06,83.45,2524131,2733365,2593587
2001,3,34.66,501695,20.26,81.91,97.32,20.0,183.74,288.85,791402.33,689044.67,290.57,190.77,11.84,21872.67,52016.33,78.15,80.33,2440228,2524131,2733365
2001,4,34.58,563115,21.02,84.24,101.34,18.68,175.83,282.63,895456.33,723523.67,329.29,193.13,12.35,21897.67,52090.67,82.2,81.18,2475696,2440228,2524131
2002,1,35.04,460783,17.86,79.29,96.24,16.43,174.73,281.58,782145.0,620873.67,289.04,190.87,11.98,22005.67,52157.33,88.96,85.41,2679374,2475696,2440228
2002,2,34.45,550955,21.31,92.22,109.91,20.13,181.12,280.99,923713.33,795535.33,347.01,190.63,11.7,22042.33,52218.33,92.87,89.91,2580550,2679374,2475696
2002,3,33.99,611816,22.98,92.5,108.64,21.41,180.74,276.31,903213.0,800180.0,341.53,190.69,12.35,22089.67,52280.33,92.75,91.59,2585960,2580550,2679374
2002,4,34.84,614572,21.93,93.3,111.91,20.19,186.08,283.09,987675.67,813477.0,360.44,191.46,12.21,22099.67,52353.33,91.44,92.47,2661948,2585960,2580550
2003,1,34.71,542280,20.44,88.08,105.31,17.71,191.8,279.97,872476.67,766791.33,323.07,190.45,11.89,22195.33,52417.67,90.77,92.77,2802453,2661948,2585960
2003,2,34.72,587607,22.84,95.29,111.32,20.3,188.76,278.82,969786.67,832835.0,323.06,190.63,11.6,22238.67,52453.33,92.91,92.85,2652671,2802453,2661948
2003,3,34.25,522098,18.95,99.92,117.07,22.51,188.85,274.88,1017026.67,858059.67,357.74,189.34,12.05,22400.67,52492.67,99.53,96.75,2573103,2652671,2802453
2003,4,34.0,722975,24.57,105.45,125.55,21.19,191.81,272.03,1123489.0,959532.67,412.64,191.01,11.16,22493.67,52550.67,105.1,102.76,2755213,2573103,2652671
2004,1,33.41,618284,22.02,99.8,118.53,18.95,198.35,274.22,1058221.33,975832.33,397.23,191.22,10.62,22621.33,52604.0,108.5,106.61,2943042,2755213,2573103
2004,2,33.38,710271,25.15,108.94,128.91,21.83,204.17,278.44,1213405.67,1106022.67,418.67,192.62,10.28,22759.67,52641.0,109.9,107.81,2807395,2943042,2755213
2004,3,33.98,736201,24.94,107.67,128.0,23.68,213.34,286.47,1230127.33,1122260.0,445.85,194.86,10.79,22927.67,52687.0,109.29,108.31,2824458,2807395,2943042
2004,4,32.94,887098,29.45,109.25,127.8,22.25,211.35,285.19,1263663.33,1203116.0,482.34,194.65,9.81,23002.67,52740.33,108.27,108.66,2952300,2824458,2807395
2005,1,31.54,682171,23.62,100.96,121.26,19.12,203.94,273.04,1081520.0,1031488.67,399.39,193.83,9.72,23067.33,52791.67,107.96,109.11,3012088,2952300,2824458
2005,2,31.4,741864,25.79,110.28,131.1,23.07,207.35,269.7,1223098.67,1176463.0,425.9,196.54,9.55,23123.67,52818.33,109.5,110.03,2888183,3012088,2952300
2005,3,32.32,764685,25.2,111.34,134.32,24.75,213.88,273.09,1234956.0,1160665.33,433.61,200.73,10.06,23230.0,52868.0,112.52,111.89,2876093,2888183,3012088
2005,4,33.46,767573,23.71,115.46,140.59,23.6,220.86,280.48,1441891.67,1261492.67,477.19,199.65,9.3,23362.67,52917.33,114.3,115.25,3034571,2876093,2888183
2006,1,32.32,718363,23.82,108.44,131.13,20.81,217.1,270.88,1244635.67,1185696.0,432.7,196.98,9.01,23387.0,52970.67,115.82,117.42,3237828,3034571,2876093
2006,2,32.18,773329,25.6,116.99,141.53,24.18,227.62,276.09,1418737.67,1316976.33,460.44,199.4,8.95,23469.67,53015.33,117.82,117.79,3015255,3237828,3034571
2006,3,32.78,786429,24.57,117.52,141.11,25.04,239.7,286.99,1504864.0,1388253.0,491.12,200.56,9.46,23688.67,53072.67,119.61,117.66,3020629,3015255,3237828
2006,4,32.85,828038,24.82,116.33,141.3,24.8,236.41,287.78,1526886.33,1348105.0,487.38,199.02,9.03,23798.33,53138.67,120.99,118.41,3200487,3020629,3015255
2007,1,32.92,684807,21.64,109.39,134.23,21.84,234.42,284.47,1366166.67,1222747.0,417.92,198.99,8.88,23896.67,53182.67,122.89,120.15,3336216,3200487,3020629
2007,2,33.11,851109,26.64,124.08,151.58,25.24,250.11,292.54,1541401.0,1441610.33,479.99,200.0,9.02,23925.67,53209.33,126.28,123.11,3164736,3336216,3200487
2007,3,32.91,846748,24.52,129.87,159.09,27.16,253.31,292.5,1653135.67,1508363.33,513.26,202.55,9.45,24110.67,53264.67,129.29,127.25,3194285,3164736,3336216
2007,4,32.43,852533,24.0,133.83,164.81,25.91,263.27,292.89,1717489.0,1448611.33,470.59,208.61,9.07,24129.33,53321.33,128.95,131.5,3453398,3194285,3164736
2008,1,31.53,798274,24.01,124.88,155.55,23.27,270.33,286.86,1544107.0,1455091.0,456.69,205.92,9.03,24200.0,53385.67,126.84,134.45,3551498,3453398,3194285
2008,2,30.44,853610,25.75,134.52,165.55,26.97,282.02,285.57,1664929.0,1561104.0,444.9,207.94,8.97,24279.33,53419.67,124.01,133.57,3324515,3551498,3453398
2008,3,31.19,847996,26.15,132.85,158.49,26.03,291.7,291.06,1718838.33,1727481.0,453.05,212.55,9.62,24368.33,53458.0,115.6,124.29,3314490,3324515,3551498
2008,4,32.98,727767,22.51,105.12,132.09,22.54,252.93,278.29,1387606.67,1221725.33,391.53,212.84,10.69,24285.33,53504.67,103.7,104.75,3242391,3314490,3324515
2009,1,33.98,498518,16.04,81.16,116.63,19.04,238.36,266.16,1024574.67,817700.33,281.55,205.98,13.0,23933.67,53560.33,103.47,93.42,3233700,3242391,3314490
2009,2,33.13,631082,20.34,111.14,141.71,22.56,238.68,261.52,1231317.67,1041845.67,341.94,206.85,13.56,23881.67,53583.67,115.71,101.91,3107886,3233700,3242391
2009,3,32.8,674651,20.66,124.86,153.42,26.29,252.1,266.58,1410293.33,1261339.0,408.68,209.4,14.21,23969.0,53619.67,127.85,116.78,3102866,3107886,3233700
2009,4,32.32,776074,22.54,131.59,157.58,24.57,256.41,268.17,1514866.0,1331537.33,470.74,209.57,13.73,24140.33,53674.0,135.74,128.44,3265332,3102866,3107886
2010,1,31.96,818726,24.0,128.12,153.73,22.29,258.78,270.87,1489870.33,1377045.33,459.88,208.64,13.33,24222.33,53718.33,139.76,136.94,3443361,3265332,3102866
2010,2,31.93,874924,25.23,147.28,174.74,25.57,265.58,273.74,1757721.67,1580911.33,529.03,209.06,12.25,24367.33,53736.67,142.09,142.66,3411644,3443361,3265332
2010,3,31.97,937047,26.0,150.69,176.33,28.04,266.0,272.94,1794391.67,1641726.0,581.55,210.23,12.05,24618.33,53756.0,144.86,146.45,3467834,3411644,3443361
2010,4,30.74,896769,25.07,150.16,175.15,26.49,266.44,267.2,1751831.67,1632842.33,567.01,211.82,11.21,24702.67,53779.0,148.71,150.46,3604351,3467834,3411644
2011,1,29.51,872039,24.55,144.27,168.41,23.4,274.49,266.17,1648891.0,1572364.67,516.89,211.22,10.82,24767.0,53800.0,151.13,153.42,3576516,3604351,3467834
2011,2,28.9,885367,25.51,154.25,176.99,26.87,285.12,270.97,1861611.67,1739517.0,550.14,212.29,10.01,24883.33,53817.33,150.76,152.69,3552329,3576516,3604351
2011,3,29.2,854738,23.44,151.5,175.73,29.14,285.41,270.86,1820608.67,1638574.0,512.7,213.04,10.29,25117.33,53856.33,148.18,149.79,3470395,3552329,3576516
2011,4,30.26,754543,21.0,144.02,168.57,27.12,290.9,276.0,1831777.33,1612214.0,503.49,214.5,9.97,25153.67,53897.67,145.97,147.38,3645975,3470395,3552329
2012,1,29.72,806700,22.58,137.09,160.97,23.81,288.96,272.4,1612965.0,1504066.67,457.92,213.95,9.82,25200.0,53941.67,148.84,148.13,3593502,3645975,3470395
2012,2,29.66,850234,23.88,153.09,176.55,28.1,283.37,269.59,1787047.0,1679010.67,497.73,215.73,9.62,25270.0,53977.33,150.86,150.65,3573234,3593502,3645975
2012,3,29.87,875510,23.27,155.88,178.37,29.3,280.26,266.54,1780273.0,1625404.67,506.2,219.32,10.15,25410.0,54025.33,151.07,151.44,3560576,3573234,3593502
2012,4,29.21,798008,21.1,153.08,177.4,27.44,273.61,260.98,1780002.33,1552607.0,454.33,218.59,9.99,25458.67,54082.33,152.63,152.25,3761673,3560576,3573234
2013,1,29.55,859870,23.42,144.04,165.8,24.78,273.07,262.25,1616171.67,1558928.0,461.48,218.09,9.79,25490.33,54137.33,156.69,154.78,3782282,3761673,3560576
2013,2,29.95,827598,22.24,157.72,180.62,28.5,267.48,262.66,1834401.33,1613463.0,520.27,217.57,9.51,25521.0,54158.67,160.28,157.99,3670889,3782282,3761673
2013,3,29.95,866892,22.36,162.25,182.13,29.76,267.79,261.86,1808593.67,1564287.0,480.32,218.91,9.99,25644.0,54187.0,161.92,159.42,3721253,3670889,3782282
2013,4,29.63,887104,22.17,158.14,181.81,27.6,265.42,258.88,1835690.33,1569777.67,483.18,219.94,9.76,25691.33,54212.0,164.6,160.55,3877352,3721253,3670889
2014,1,30.36,885196,22.91,150.1,169.39,24.88,270.32,264.51,1681801.33,1536767.33,462.46,219.32,9.45,25730.67,54237.33,169.02,163.48,4001234,3877352,3721253
2014,2,30.16,897923,22.64,167.83,191.75,28.44,268.01,262.79,1915240.67,1668197.0,524.1,221.13,9.07,25779.33,54251.0,171.08,167.6,3864177,4001234,3877352
2014,3,30.06,960519,23.22,175.34,191.72,30.7,264.95,261.57,1940736.67,1712198.33,520.28,222.72,9.42,25900.67,54285.33,170.38,170.51,3966585,3864177,4001234
2014,4,30.89,924801,21.56,174.03,190.96,28.41,251.2,258.84,1929667.0,1623047.0,521.56,221.93,9.1,25974.0,54327.67,169.16,171.49,4137478,3966585,3864177
2015,1,31.59,890462,21.12,161.52,179.74,25.12,234.26,254.05,1708058.0,1390992.67,494.92,218.06,8.64,26039.67,54374.33,169.25,170.93,4289807,4137478,3966585
2015,2,30.99,937027,22.54,169.2,188.66,28.65,230.37,248.29,1778325.33,1455052.0,494.12,219.48,8.49,26077.33,54397.0,168.59,168.29,4215980,4289807,4137478
2015,3,32.21,958372,22.36,166.93,184.15,30.43,228.17,248.76,1753608.33,1486803.67,519.07,221.79,9.02,26178.67,54413.33,167.62,164.73,4157711,4215980,4289807
2015,4,32.85,920335,20.94,162.41,183.42,28.61,223.66,247.49,1770916.67,1468752.33,538.73,222.77,9.1,26207.33,54444.0,167.14,162.67,4286649,4157711,4215980
2016,1,33.35,885216,20.5,151.12,169.59,25.13,219.17,246.97,1566514.67,1262215.67,480.26,221.69,9.12,26220.67,54483.67,168.05,163.19,4394740,4286649,4157711
2016,2,32.44,936687,22.0,167.08,184.93,29.37,222.52,242.73,1724461.67,1416640.0,531.39,222.69,9.01,26239.33,54495.67,170.42,167.63,4318253,4394740,4286649
2016,3,31.73,996773,22.69,176.8,188.54,31.27,220.94,239.99,1788665.67,1492239.0,597.13,223.6,9.43,26323.67,54526.67,174.0,173.42,4258596,4318253,4394740
2016,4,31.78,978890,21.35,180.89,192.99,29.78,223.75,241.55,1904744.0,1578334.33,642.56,226.81,9.08,26369.67,54554.0,177.32,177.93,4393874,4258596,4318253
2017,1,31.1,928752,21.17,166.41,177.08,26.33,228.77,244.44,1716523.33,1453514.0,549.11,223.8,8.89,26398.0,54589.0,179.67,177.85,4584545,4393874,4258596
2017,2,30.27,975209,22.49,171.75,185.02,29.66,221.13,236.03,1755676.0,1509969.0,570.66,223.67,8.58,26435.0,54601.0,181.16,177.73,4386857,4584545,4393874
2017,3,30.28,942999,20.6,184.51,196.91,32.25,221.56,237.2,1943895.33,1537754.67,606.64,225.42,8.99,26525.67,54614.67,182.76,181.54,4336020,4386857,4584545
2017,4,30.12,920764,19.54,185.39,196.4,30.52,228.26,240.13,1984833.33,1583811.33,643.81,227.21,8.68,26581.67,54631.33,184.53,185.21,4577156,4336020,4386857
2018,1,29.32,958300,21.37,171.01,183.36,27.02,229.9,237.73,1747239.33,1522014.0,584.42,227.28,8.55,26607.0,54649.0,186.02,187.18,4712354,4577156,4336020
2018,2,29.78,980732,21.79,183.57,195.61,30.81,236.88,241.22,1916410.33,1612062.33,597.79,227.72,8.5,26623.0,54649.33,188.0,188.88,4484529,4712354,4577156
2018,3,30.68,1097230,23.74,189.55,199.89,32.68,244.9,247.03,2023571.0,1772278.33,684.22,229.15,8.93,26718.33,54659.67,188.32,189.48,4501842,4484529,4712354
2018,4,30.86,1040208,21.62,192.58,198.95,30.32,243.36,245.35,2052364.67,1756781.33,689.72,228.6,8.67,26762.0,54669.67,187.26,188.08,4621307,4501842,4484529
2019,1,30.83,1063838,23.25,168.31,182.53,27.21,234.86,238.21,1753988.0,1538804.67,636.86,227.84,8.59,26784.0,54687.33,190.15,186.79,4812361,4621307,4501842
2019,2,31.15,1082404,23.38,183.69,194.82,30.64,239.93,238.89,1936922.0,1675002.0,650.52,229.54,8.58,26793.33,54686.67,194.78,188.81,4576002,4812361,4621307
2019,3,31.21,1102978,23.1,196.27,202.59,32.51,236.36,237.02,2067436.0,1734570.67,741.67,230.09,8.98,26872.67,54693.67,196.96,192.26,4629762,4576002,4812361
2019,4,30.51,1215195,24.33,196.95,202.32,30.34,229.87,230.31,2064087.0,1786928.67,809.79,229.9,8.72,26886.67,54702.0,197.45,194.96,4774168,4629762,4576002
2020,1,30.15,1223621,25.84,184.88,189.17,28.14,223.61,226.5,1796052.33,1565869.67,686.07,229.44,8.58,26896.67,54714.33,194.94,194.86,4994165,4774168,4629762
2020,2,29.93,1211283,25.38,191.97,190.6,30.05,202.78,216.48,1839197.33,1572513.0,742.87,227.16,9.42,26754.67,54688.0,197.77,193.9,4735466,4994165,4774168
